1|The Shawshank Redemption|1994-09-23|R|Drama|142|https://media.themoviedb.org/t/p/w300_and_h450_bestv2/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg
1|The Shawshank Redemption|1994-09-23|R|Drama|142|https://media.themoviedb.org/t/p/w300_and_h450_bestv2/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg
2|Parasite|2019-05-30|R|Comedy, Drama, Thriller|132|https://media.themoviedb.org/t/p/w300_and_h450_bestv2/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg
2|Parasite|2019-05-30|R|Comedy, Drama, Thriller|132|https://media.themoviedb.org/t/p/w300_and_h450_bestv2/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg
3|Spirited Away|2001-07-20|PG|Animation, Adventure, Family|125|https://media.themoviedb.org/t/p/w300_and_h450_bestv2/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg
4|Black Panther|2018-02-16|PG-13|Action, Adventure, Sci-Fi|134|https://media.themoviedb.org/t/p/w300_and_h450_bestv2/uxzzxijgPIY7slzFvMotPv8wjKA.jpg
4|Black Panther|2018-02-16|PG-13|Action, Adventure, Sci-Fi|134|https://media.themoviedb.org/t/p/w300_and_h450_bestv2/uxzzxijgPIY7slzFvMotPv8wjKA.jpg
5|Crouching Tiger, Hidden Dragon|2000-07-07|PG-13|Action, Adventure, Fantasy|120|https://media.themoviedb.org/t/p/w300_and_h450_bestv2/iNDVBFNz4XyYzM9Lwip6atSTFqf.jpg
6|Selma|2014-12-25|PG-13|Biography, Drama, History|128|https://media.themoviedb.org/t/p/w300_and_h450_bestv2/wq4lhMc4BuOyQqe1ZGzhxLyy3Uk.jpg
6|Selma|2014-12-25|PG-13|Biography, Drama, History|128|https://media.themoviedb.org/t/p/w300_and_h450_bestv2/wq4lhMc4BuOyQqe1ZGzhxLyy3Uk.jpg
7|Get Out|2017-02-24|R|Horror, Mystery, Thriller|104|https://media.themoviedb.org/t/p/w300_and_h450_bestv2/tFXcEccSQMf3lfhfXKSU9iRBpa3.jpg
8|Roma|2018-08-25|R|Drama|135|https://media.themoviedb.org/t/p/w300_and_h450_bestv2/dtIIyQyALk57ko5bjac7hi01YQ.jpg
8|Roma|2018-08-25|R|Drama|135|https://media.themoviedb.org/t/p/w300_and_h450_bestv2/dtIIyQyALk57ko5bjac7hi01YQ.jpg
9|The Farewell|2019-07-12|PG|Comedy, Drama|100|https://media.themoviedb.org/t/p/w300_and_h450_bestv2/7UrIarxfjxZC9YGj8H1ATKZMXVy.jpg
10|Moonlight|2016-10-21|R|Drama|111|https://media.themoviedb.org/t/p/w300_and_h450_bestv2/4911T5FbJ9eD2Faz5Z8cT3SUhU3.jpg
10|Moonlight|2016-10-21|R|Drama|111|https://media.themoviedb.org/t/p/w300_and_h450_bestv2/4911T5FbJ9eD2Faz5Z8cT3SUhU3.jpg
